url;id;title
/watch?v=qFxWWDH8Ifk&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=36;qFxWWDH8Ifk;Weekly Track Roundup: 4/12 (Gorillaz, RMR, twenty one pilots, Usher)
/watch?v=P7mLMSo17jc&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=37;P7mLMSo17jc;Sam Hunt - Southside ALBUM REVIEW
/watch?v=el7NTXDuaCo&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=38;el7NTXDuaCo;Four Tet - Sixteen Oceans ALBUM REVIEW
/watch?v=RlRvesjS9rE&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=39;RlRvesjS9rE;Yves Tumor - Heaven to a Tortured Mind ALBUM REVIEW
/watch?v=AMKnqlZzRcM&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=40;AMKnqlZzRcM;Waxahatchee - Saint Cloud ALBUM REVIEW
/watch?v=mMY3eoqp0kg&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=41;mMY3eoqp0kg;Thundercat - It Is What It Is ALBUM REVIEW
/watch?v=1Q2YZ010HS8&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=42;1Q2YZ010HS8;Weekly Track Roundup: 4/5 (Frank Ocean, Drake, The 1975, DaBaby)
/watch?v=W2xOmf1sPXE&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=43;W2xOmf1sPXE;Joyner Lucas' ADHD: NOT GOOD
/watch?v=p_Db3vDJuWU&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=44;p_Db3vDJuWU;Nicolas Jaar - Cenizas ALBUM REVIEW
/watch?v=tpyQzfYDh1Y&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=45;tpyQzfYDh1Y;Dua Lipa - Future Nostalgia ALBUM REVIEW
/watch?v=1-YccbQ9EVk&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=46;1-YccbQ9EVk;Don Toliver - Heaven or Hell ALBUM REVIEW
/watch?v=aHVTlcNdIFc&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=47;aHVTlcNdIFc;Sufjan Stevens & Lowell Brams - Aporia ALBUM REVIEW
/watch?v=92vrirjwNgU&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=48;92vrirjwNgU;Weekly Track Roundup: 3/29 (Dua Lipa, Run the Jewels, Bob Dylan, Lingua Ignota)
/watch?v=NfGPMT6RNJU&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=49;NfGPMT6RNJU;Horse Lords - The Common Task ALBUM REVIEW
/watch?v=U8DL0wDfxAw&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=50;U8DL0wDfxAw;The Garden - Kiss My Super Bowl Ring ALBUM REVIEW
/watch?v=vMxNmFZ2ijY&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=51;vMxNmFZ2ijY;Childish Gambino - 3.15.20 ALBUM REVIEW
/watch?v=GpyoyfxLmCU&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=52;GpyoyfxLmCU;The Weeknd - After Hours ALBUM REVIEW
/watch?v=1VICcu5AX0k&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=53;1VICcu5AX0k;Weekly Track Roundup: 3/22 (Run the Jewels, MGMT, Mac Miller, JPEGMAFIA)
