ARTISTS,ALBUM TITLE,SCORE,GENDER
Rina Sawayama,RINA,9,F
Julia Holter,Have You In My Wilderness,9,F
FKA twigs,M3LL155X,9,F
Fiona Apple,The Idler Wheel...,9,F
Laura Marling,Song for Our Daughter,9,F
Kid Cudi,Speedin' Bullet 2 Heaven,0,M
Bladee,Red Light,1,M
Swae Lee,Swaecation,1,M
Sam Hunt,Southside,1,M
XXXTENTACION,Skins,2,M
Jaden Smith,The Sunset Tapes: A Cool Tape Story,2,M
Eminem,Revival,2,M
XXXTentacion,17,2,M
Lil Yachty,Teenage Emotions,2,M
A$AP Ferg,Always Strive and Prosper,2,M
Goldlink,"And After That, We Didn't Talk",2,M
Lil Dicky,Professional Rapper,2,M
PartyNextDoor,Two,2,M
Future,Honest,2,M
John Frusciante,Enclosure,2,M
Blood Orange,Cupid Deluxe,2,M
Kid Cudi,Indicud,2,M
John Frusciante,PBX Funicular Intaglio Zone,2,M
Childish Gambino,Camp,2,M
"Tyler, the Creator",Music Inspired by Illumination & Dr. Seuss' The Grinch,3,M
Russ,Zoo,3,M
Valee,"Good Job, You Found Me",3,M
Mac Miller,Swimming,3,M
Tory Lanez,Memories Don’t Die,3,M
6ix9ine,Day69,3,M
Justin Timberlake,Man of the Woods,3,M
Macklemore,Gemini,3,M
Lil Uzi Vert,Luv is Rage 2,3,M
21 Savage,Issa Album,3,M
Travis Scott,Birds in the Trap Sing McKnight,3,M
Lil Uzi Vert,The Perfect Luv Tape,3,M
Kodak Black,Lil Big Pac,3,M
Yung Lean,Warlord,3,M
Machine Gun Kelly,General Admission,3,M
Hopsin,Pound Syndrome,3,M
Yelawolf,Love Story,3,M
"Tyler, The Creator",Cherry Bomb,3,M
Twin Shadow,Eclipse,3,M
Travi$ Scott,Days Before Rodeo,3,M
Rustie,Green Language,3,M
Lone,Reality Testing,3,M
Chet Faker,Built On Glass,3,M
Pharrell,G I R L,3,M
Hopsin,Knock Madness,3,M
Thundercat,Apocalypse,3,M
Travis Scott,Owl Pharaoh,3,M
Rick Ross,"God Forgives, I Don't",3,M
Curren$y,The Stoned Immaculate,3,M
Marilyn Manson,Born Villain,3,M
Lil Wayne,Tha Carter IV,3,M
The Weeknd,House of Balloons,3,M
Lupe Fiasco,Lasers,3,M
Lil B,Angels Exodus,3,M
6ix9ine,Dummy Boy,4,M
Lil Peep,"Come On Over When You're Sober, Pt.2",4,M
Takeoff,The Last Rocket,4,M
Quavo,Quavo Huncho,4,M
6LACK,East Atlanta Love Letter,4,M
Eminem,Kamikaze,4,M
Jay Rock,Redemption,4,M
Drake,Scorpion,4,M
A$AP Rocky,Testing,4,M
XXXTENTACION,?,4,M
Hopsin,No Shame,4,M
Jaden Smith,SYRE,4,M
Beck,Colors,4,M
King Krule,The OOZ,4,M
Harry Styles,Harry Styles,4,M
Kodak Black,Painting Pictures,4,M
Ed Sheeran,Divide,4,M
Kid Cudi,"Passion, Pain & Demon Slayin'",4,M
Mac Miller,The Divine Feminine,4,M
PartyNextDoor,P3,4,M
Riff Raff,Peach Panther,4,M
Lil Uzi Vert,Lil Uzi Vert vs. The World,4,M
Drake,Views,4,M
Domo Genesis,Genesis,4,M
Zayn,Mind of Mine,4,M
Archy Marshall,A New Place 2 Drown,4,M
G-Eazy,When it's Dark Out,4,M
James Ferraro,Skid Row,4,M
Wavves,V,4,M
Lil Wayne,Free Weezy Album,4,M
Wale,The Album About Nothing,4,M
Heems,Eat Pray Thug,4,M
Panda Bear,Panda Bear Meets the Grim Reaper,4,M
